负责人	学校名称	世界排名	学院	专业名称	学制	总学费（当地货币）	申请起止日	语言要求	是否需要GRE	是否有面试	是否要作品集/writing sample/essay
				护理学硕士(专研:高级呼吸系统)（通过途径1）	一年	109，800港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	无明确说明	无
				护理学硕士(专研:临终关怀)（通过途径1）	一年	109，800港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	无明确说明	无
				护理学硕士(专研:高级行政管理)	一年	203.250港币	11月12日~次年5月31日	/	无明确说明	无明确说明	无
				伤健运动理学硕士	一年	195，000港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	无明确说明	无
				护理学硕士(专研:中医护理)	一年	195，000港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	无明确说明	无
				护理学硕士(专研:中医护理)（循途径一）	一年	109，485港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	无明确说明	无
				护理学硕士(专研:高级行政管理)（循途径一）	一年	182，925港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	无明确说明	无
		781-790	教育和语文学院	英语语言教育教育学硕士	一年	104，850港币	11月12日~次年5月31日	雅思总分6.5(备注:六级500)，托福总分79	无明确说明	无明确说明	无
		781-790	教育和语言学院	国际中文教学教育硕士(中文(普通话及粤语)授课)	一年	132，000港币	11月12日~次年5月31日	/	无明确说明	有	无
				教育科技与创新教育硕士	一年	147，300港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
				言语科学及儿童语言障碍硕士(中文授课）	一年	181，500港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
		781-790	李兆基商业和管理学院	会计学硕士	两年	326，220港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
				财富管理专业管理硕士	一年	305，700港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
				工商管理硕士	一年	437，280港币	1月入学6.9-8.22/9月入学11.12-次年5.31	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
				工商管理硕士(中文)	一年	437，280港币	1月入学6.9-7.31/9月入学11.12-次年5.31	/	无明确说明	maybe	无
				工商管理硕士(中文)(通过途径1)	一年	315，240港币	11月12日~次年5月31日	/	无明确说明	maybe	无
				工商管理硕士(特殊入学途径)	一年	559，320港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
				工商管理硕士(通过途径1)	一年	315，240港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
				企业管治及合规审查硕士	一年	240，900港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
				企业管治及合规审查硕士(特殊入学途径)	一年	240，900港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
				环球商业及市场学专业管理硕士	一年	305，700港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
				环球商业及市场学专业管理硕士(通过途径1)	一年	227，520港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
				财富管理专业管理硕士(通过途径1)	一年	227，520港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
				环球运动商业专业管理硕士(中文)	一年	437，280港币	11月12日~次年5月31日	/	无明确说明	有	无
				环球运动商业专业管理硕士(中文)(通过途径 1)	一年	315，240港币	11月12日~次年5月31日	/	无明确说明	有	无
